state,cases,deaths,year
Alabama,365747,4872,2021
Alaska,46740,198,2021
Arizona,530267,9015,2021
Arkansas,229442,3711,2021
California,2345811,26236,2021
Colorado,338357,4936,2021
Connecticut,185708,5995,2021
Delaware,58064,930,2021
District of Columbia,29252,788,2021
Florida,1323307,21672,2021
Georgia,654950,10610,2021
Guam,8295,123,2021
Hawaii,21736,287,2021
Idaho,141388,1438,2021
Illinois,966287,17979,2021
Indiana,520750,8371,2021
Iowa,282980,3898,2021
Kansas,230352,2879,2021
Kentucky,269470,2956,2021
Louisiana,315275,7488,2021
Maine,24201,347,2021
Maryland,280387,5942,2021
Massachusetts,375178,12423,2021
Michigan,526845,13011,2021
Minnesota,415361,5382,2021
Mississippi,218386,4816,2021
Missouri,421217,5906,2021
Montana,81701,962,2021
Nebraska,168567,1707,2021
Nevada,227046,3146,2021
New Hampshire,44028,759,2021
New Jersey,484882,19160,2021
New Mexico,144142,2504,2021
New York,996073,37733,2021
North Carolina,543976,6819,2021
North Dakota,92777,1316,2021
Northern Mariana Islands,122,2,2021
Ohio,700380,8962,2021
Oklahoma,290936,2489,2021
Oregon,115377,1501,2021
Pennsylvania,652952,16247,2021
Puerto Rico,110669,1521,2021
Rhode Island,87949,1777,2021
South Carolina,307507,5296,2021
South Dakota,99164,1488,2021
Tennessee,572579,6846,2021
Texas,1778306,28434,2021
Utah,276612,1273,2021
Vermont,7412,136,2021
Virgin Islands,2036,23,2021
Virginia,354766,5081,2021
Washington,251585,3523,2021
West Virginia,87820,1361,2021
Wisconsin,522523,5257,2021
Wyoming,44409,438,2021
Alabama,369458,4872,2021
Alaska,47549,207,2021
Arizona,539162,9061,2021
Arkansas,231442,3729,2021
California,2398005,26542,2021
Colorado,340454,4976,2021
Connecticut,190120,6099,2021
Delaware,58873,930,2021
District of Columbia,29509,792,2021
Florida,1354825,21889,2021
Georgia,662077,10612,2021
Guam,8295,124,2021
Hawaii,21895,287,2021
Idaho,142290,1451,2021
Illinois,977677,18217,2021
Indiana,526065,8410,2021
Iowa,283895,3946,2021
Kansas,230352,2879,2021
Kentucky,275803,2999,2021
Louisiana,315275,7488,2021
Maine,25245,358,2021
Maryland,283339,5967,2021
Massachusetts,384181,12502,2021
Michigan,535355,13296,2021
Minnesota,417891,5436,2021
Mississippi,220277,4840,2021
Missouri,423894,5910,2021
