learning_modality,year,state,student_count
Hybrid,2021,AK,8033
Hybrid,2021,AL,5863
Hybrid,2021,AR,1354
Hybrid,2021,AZ,735
Hybrid,2021,BI,414
Hybrid,2021,CA,3320
Hybrid,2021,CO,19133
Hybrid,2021,CT,5203
Hybrid,2021,DC,25949
Hybrid,2021,DE,8022
Hybrid,2021,FL,64269
Hybrid,2021,GA,12684
Hybrid,2021,IA,1893
Hybrid,2021,ID,662
Hybrid,2021,IL,21501
Hybrid,2021,IN,1672
Hybrid,2021,KS,1436
Hybrid,2021,KY,2769
Hybrid,2021,LA,14588
Hybrid,2021,MA,7038
Hybrid,2021,MD,92435
Hybrid,2021,ME,1841
Hybrid,2021,MI,2321
Hybrid,2021,MN,3493
Hybrid,2021,MO,1569
Hybrid,2021,MS,15455
Hybrid,2021,MT,981
Hybrid,2021,NC,11317
Hybrid,2021,NE,10160
Hybrid,2021,NH,1443
Hybrid,2021,NJ,2239
Hybrid,2021,NM,1341
Hybrid,2021,NV,164776
Hybrid,2021,NY,7001
Hybrid,2021,OH,4110
Hybrid,2021,OK,2765
Hybrid,2021,OR,4436
Hybrid,2021,PA,7305
Hybrid,2021,RI,4494
Hybrid,2021,SC,20700
Hybrid,2021,SD,13620
Hybrid,2021,TN,16574
Hybrid,2021,TX,5329
Hybrid,2021,UT,1138
Hybrid,2021,VA,10078
Hybrid,2021,VT,1659
Hybrid,2021,WA,2588
Hybrid,2021,WI,18729
Hybrid,2021,WV,7912
Hybrid,2022,AK,7842
Hybrid,2022,AL,3756
Hybrid,2022,AR,2064
Hybrid,2022,AZ,814
Hybrid,2022,BI,301
Hybrid,2022,CA,1238
Hybrid,2022,CO,66895
Hybrid,2022,CT,6390
Hybrid,2022,DC,5794
Hybrid,2022,DE,4885
Hybrid,2022,GA,4732
Hybrid,2022,IA,2973
Hybrid,2022,ID,640
Hybrid,2022,IL,4583
Hybrid,2022,IN,912
Hybrid,2022,KS,16805
Hybrid,2022,KY,2813
Hybrid,2022,LA,2323
Hybrid,2022,MA,2365
Hybrid,2022,MD,144624
Hybrid,2022,ME,1768
Hybrid,2022,MI,623
Hybrid,2022,MN,1851
Hybrid,2022,MO,1162
Hybrid,2022,MS,1862
Hybrid,2022,MT,79
Hybrid,2022,NC,3612
Hybrid,2022,ND,863
Hybrid,2022,NE,6105
Hybrid,2022,NH,2076
Hybrid,2022,NJ,3186
Hybrid,2022,NM,11329
Hybrid,2022,NV,61236
Hybrid,2022,NY,1159
Hybrid,2022,OH,2863
Hybrid,2022,OK,977
Hybrid,2022,OR,5224
Hybrid,2022,PA,3147
Hybrid,2022,RI,2976
Hybrid,2022,SC,15435
Hybrid,2022,SD,930
Hybrid,2022,TN,16801
Hybrid,2022,TX,18283
Hybrid,2022,UT,3447
Hybrid,2022,VA,19939
Hybrid,2022,VT,2189
Hybrid,2022,WA,3468
Hybrid,2022,WI,2736
Hybrid,2022,WV,5563
In Person,2021,AK,3275
In Person,2021,AL,5477
In Person,2021,AR,2102
In Person,2021,AZ,2401
In Person,2021,BI,208
In Person,2021,CA,5509
In Person,2021,CO,5329
In Person,2021,CT,2772
In Person,2021,DC,1790
In Person,2021,DE,3816
In Person,2021,FL,45343
In Person,2021,GA,9114
In Person,2021,IA,1685
In Person,2021,ID,2205
In Person,2021,IL,2300
In Person,2021,IN,3010
In Person,2021,KS,1856
In Person,2021,KY,4415
In Person,2021,LA,5847
In Person,2021,MA,2583
In Person,2021,MD,37819
In Person,2021,ME,1038
In Person,2021,MI,1965
In Person,2021,MN,2066
In Person,2021,MO,1714
In Person,2021,MS,3264
In Person,2021,MT,513
In Person,2021,NC,5518
In Person,2021,ND,775
In Person,2021,NE,1586
In Person,2021,NH,1396
In Person,2021,NJ,2272
In Person,2021,NM,2961
In Person,2021,NV,29473
In Person,2021,NY,2989
In Person,2021,OH,2244
In Person,2021,OK,1534
In Person,2021,OR,3344
In Person,2021,PA,2704
In Person,2021,PR,292518
In Person,2021,RI,2577
In Person,2021,SC,9532
In Person,2021,SD,1038
In Person,2021,TN,6835
In Person,2021,TX,4927
In Person,2021,UT,5032
In Person,2021,VA,10478
In Person,2021,VT,1297
In Person,2021,WA,3926
In Person,2021,WI,1920
In Person,2021,WV,4909
In Person,2021,WY,2248
In Person,2022,AK,3296
In Person,2022,AL,5655
In Person,2022,AR,2104
In Person,2022,AZ,2515
In Person,2022,BI,216
In Person,2022,CA,5635
In Person,2022,CO,5635
In Person,2022,CT,2850
In Person,2022,DC,1819
In Person,2022,DE,4181
In Person,2022,FL,47424
In Person,2022,GA,9464
In Person,2022,IA,1728
In Person,2022,ID,2343
In Person,2022,IL,2479
In Person,2022,IN,3085
In Person,2022,KS,1863
In Person,2022,KY,4439
In Person,2022,LA,5813
In Person,2022,MA,2706
In Person,2022,MD,37521
In Person,2022,ME,1072
In Person,2022,MI,2068
In Person,2022,MN,2068
In Person,2022,MO,1800
In Person,2022,MS,3523
In Person,2022,MT,501
In Person,2022,NC,6172
In Person,2022,ND,750
In Person,2022,NE,1544
In Person,2022,NH,1489
In Person,2022,NJ,2346
In Person,2022,NM,2684
In Person,2022,NV,26412
In Person,2022,NY,3125
In Person,2022,OH,2396
In Person,2022,OK,1532
In Person,2022,OR,3299
In Person,2022,PA,2785
In Person,2022,PR,292518
In Person,2022,RI,2667
In Person,2022,SC,10427
In Person,2022,SD,1054
In Person,2022,TN,7567
In Person,2022,TX,5083
In Person,2022,UT,5161
In Person,2022,VA,10791
In Person,2022,VT,1373
In Person,2022,WA,4065
In Person,2022,WI,2088
In Person,2022,WV,5204
In Person,2022,WY,2204
Remote,2021,AL,5167
Remote,2021,AZ,1215
Remote,2021,BI,265
Remote,2021,CA,1258
Remote,2021,CO,1474
Remote,2021,GA,4857
Remote,2021,ID,616
Remote,2021,IL,1401
Remote,2021,IN,431
Remote,2021,KS,936
Remote,2021,KY,2158
Remote,2021,LA,3209
Remote,2021,MA,701
Remote,2021,ME,572
Remote,2021,MI,916
Remote,2021,MN,1000
Remote,2021,MO,146
Remote,2021,MS,2616
Remote,2021,MT,414
Remote,2021,NC,974
Remote,2021,NJ,427
Remote,2021,NM,760
Remote,2021,NV,5582
Remote,2021,NY,2632
Remote,2021,OH,2559
Remote,2021,OK,418
Remote,2021,OR,2710
Remote,2021,PA,1698
Remote,2021,RI,135
Remote,2021,SC,5987
Remote,2021,SD,1335
Remote,2021,TN,5840
Remote,2021,TX,760
Remote,2021,UT,774
Remote,2021,VA,2322
Remote,2021,WA,642
Remote,2021,WI,283
Remote,2021,WV,2917
Remote,2022,AL,8801
Remote,2022,AR,1880
Remote,2022,AZ,3412
Remote,2022,BI,350
Remote,2022,CA,1006
Remote,2022,CO,2316
Remote,2022,DC,1001
Remote,2022,DE,2736
Remote,2022,GA,12148
Remote,2022,ID,187
Remote,2022,IL,3445
Remote,2022,IN,498
Remote,2022,KY,51612
Remote,2022,LA,3082
Remote,2022,MD,108844
Remote,2022,MI,723
Remote,2022,MN,722
Remote,2022,MO,1652
Remote,2022,MS,1403
Remote,2022,MT,277
Remote,2022,NC,171
Remote,2022,ND,1648
Remote,2022,NJ,4844
Remote,2022,NM,276
Remote,2022,NY,11476
Remote,2022,OH,5455
Remote,2022,OK,895
Remote,2022,OR,3124
Remote,2022,PA,4403
Remote,2022,PR,292518
Remote,2022,SC,1934
Remote,2022,SD,2135
Remote,2022,TX,12263
Remote,2022,UT,660
Remote,2022,WA,232
Remote,2022,WI,57802
