cases,deaths,year,state,population,abbreviation,cases_per_10k,deaths_per_10k
365747,4872,2021,Alabama,4893186,AL,747.461878620596,9.956703056045694
46740,198,2021,Alaska,736990,AK,634.2012781720241,2.6866036174167895
530267,9015,2021,Arizona,7174064,AZ,739.1445072137634,12.56609921517288
229442,3711,2021,Arkansas,3011873,AR,761.7917488552804,12.32123665240865
2345811,26236,2021,California,39346023,CA,596.2002817921394,6.6680182645143065
338357,4936,2021,Colorado,5684926,CO,595.1827693095742,8.682610820263976
185708,5995,2021,Connecticut,3570549,CT,520.1104928121698,16.79013507446614
58064,930,2021,Delaware,967679,DE,600.0336888575654,9.61062501097988
29252,788,2021,District of Columbia,701974,DC,416.71059042072784,11.225486983848405
1323307,21672,2021,Florida,21216924,FL,623.7035114043864,10.214487264977713
654950,10610,2021,Georgia,10516579,GA,622.7785670606382,10.088832119266161
21736,287,2021,Hawaii,1420074,HI,153.06244604154432,2.021021439727789
141388,1438,2021,Idaho,1754367,ID,805.9203119985726,8.196688606203834
966287,17979,2021,Illinois,12716164,IL,759.8887526143891,14.138697802261753
520750,8371,2021,Indiana,6696893,IN,777.5994031859251,12.499826412039136
282980,3898,2021,Iowa,3150011,IA,898.3460692676946,12.374559961854102
230352,2879,2021,Kansas,2912619,KS,790.8758406094308,9.884574673172152
269470,2956,2021,Kentucky,4461952,KY,603.9285048337589,6.624903181387877
315275,7488,2021,Louisiana,4664616,LA,675.8862894609116,16.05276833076935
24201,347,2021,Maine,1340825,ME,180.49335297298305,2.5879589058974886
280387,5942,2021,Maryland,6037624,MD,464.3995717520667,9.841619816007093
375178,12423,2021,Massachusetts,6873003,MA,545.8720154785325,18.07506849625993
526845,13011,2021,Michigan,9973907,MI,528.2232930385254,13.045038418746035
415361,5382,2021,Minnesota,5600166,MN,741.6940854967513,9.610429405128349
218386,4816,2021,Mississippi,2981835,MS,732.3879423241058,16.151128415891556
421217,5906,2021,Missouri,6124160,MO,687.7955507367541,9.643771553976382
81701,962,2021,Montana,1061705,MT,769.5263750288451,9.060897330237685
168567,1707,2021,Nebraska,1923826,NE,876.2070998104817,8.872943810926769
227046,3146,2021,Nevada,3030281,NV,749.2572471001864,10.381875476234711
44028,759,2021,New Hampshire,1355244,NH,324.8713884732196,5.6004675172884
484882,19160,2021,New Jersey,8885418,NJ,545.705334290407,21.563419976415293
144142,2504,2021,New Mexico,2097021,NM,687.3655533254077,11.940748328223703
996073,37733,2021,New York,19514849,NY,510.41798991116974,19.335532650034853
543976,6819,2021,North Carolina,10386227,NC,523.7474590147125,6.565425539033568
92777,1316,2021,North Dakota,760394,ND,1220.1174654192432,17.306817255265035
700380,8962,2021,Ohio,11675275,OH,599.883086265634,7.676050457055615
290936,2489,2021,Oklahoma,3949342,OK,736.6695515354203,6.3023156768899735
115377,1501,2021,Oregon,4176346,OR,276.2630299309492,3.5940508760528944
652952,16247,2021,Pennsylvania,12794885,PA,510.32267972709406,12.698043007029762
87949,1777,2021,Rhode Island,1057798,RI,831.4347351762813,16.7990485896173
307507,5296,2021,South Carolina,5091517,SC,603.9594879090063,10.401615078570886
99164,1488,2021,South Dakota,879336,SD,1127.7145482500432,16.92185922104861
572579,6846,2021,Tennessee,6772268,TN,845.4759912041284,10.108873423201798
1778306,28434,2021,Texas,28635442,TX,621.0157328809522,9.929652910543513
276612,1273,2021,Utah,3151239,UT,877.7880700257898,4.039680900115796
7412,136,2021,Vermont,624340,VT,118.71736553800814,2.178300285101067
354766,5081,2021,Virginia,8509358,VA,416.91276827229507,5.971073258405628
251585,3523,2021,Washington,7512465,WA,334.89007935477906,4.68953931898518
87820,1361,2021,West Virginia,1807426,WV,485.88434602578474,7.530045490105819
522523,5257,2021,Wisconsin,5806975,WI,899.8196134820626,9.052906203315839
44409,438,2021,Wyoming,581348,WY,763.8970117726387,7.534213586354473
369458,4872,2021,Alabama,4893186,AL,755.0458944336062,9.956703056045694
