learning_modality,year,student_count,state,population,abbreviation,student_count_per_10k
Hybrid,2021,8033,Alaska,736990,AK,108.99740837731856
Hybrid,2021,5863,Alabama,4893186,AL,11.981968394416235
Hybrid,2021,1354,Arkansas,3011873,AR,4.495541478674566
Hybrid,2021,735,Arizona,7174064,AZ,1.0245238960789869
Hybrid,2021,3320,California,39346023,CA,0.8437955724267228
Hybrid,2021,19133,Colorado,5684926,CO,33.65567115561399
Hybrid,2021,5203,Connecticut,3570549,CT,14.571988789399052
Hybrid,2021,25949,District of Columbia,701974,DC,369.65756566482514
Hybrid,2021,8022,Delaware,967679,DE,82.89939122374258
Hybrid,2021,64269,Florida,21216924,FL,30.291384368440966
Hybrid,2021,12684,Georgia,10516579,GA,12.06095632429519
Hybrid,2021,1893,Iowa,3150011,IA,6.0095028239583925
Hybrid,2021,662,Idaho,1754367,ID,3.7734407908949494
Hybrid,2021,21501,Illinois,12716164,IL,16.908400992626394
Hybrid,2021,1672,Indiana,6696893,IN,2.4966801769118905
Hybrid,2021,1436,Kansas,2912619,KS,4.930270660185902
Hybrid,2021,2769,Kentucky,4461952,KY,6.205804096503056
Hybrid,2021,14588,Louisiana,4664616,LA,31.273742576023405
Hybrid,2021,7038,Massachusetts,6873003,MA,10.240065368806038
Hybrid,2021,92435,Maryland,6037624,MD,153.0983048960982
Hybrid,2021,1841,Maine,1340825,ME,13.730352581433074
Hybrid,2021,2321,Michigan,9973907,MI,2.327072029045388
Hybrid,2021,3493,Minnesota,5600166,MN,6.237315108159294
Hybrid,2021,1569,Missouri,6124160,MO,2.5619840108684295
Hybrid,2021,15455,Mississippi,2981835,MS,51.83050034626329
Hybrid,2021,981,Montana,1061705,MT,9.239854761915975
Hybrid,2021,11317,North Carolina,10386227,NC,10.896160848400482
Hybrid,2021,10160,Nebraska,1923826,NE,52.8114288922179
Hybrid,2021,1443,New Hampshire,1355244,NH,10.64752915342182
Hybrid,2021,2239,New Jersey,8885418,NJ,2.5198589419203463
Hybrid,2021,1341,New Mexico,2097021,NM,6.394785746065491
Hybrid,2021,164776,Nevada,3030281,NV,543.7647531697555
Hybrid,2021,7001,New York,19514849,NY,3.587524556300692
Hybrid,2021,4110,Ohio,11675275,OH,3.5202596940971413
Hybrid,2021,2765,Oklahoma,3949342,OK,7.001166270229319
Hybrid,2021,4436,Oregon,4176346,OR,10.621725307242263
Hybrid,2021,7305,Pennsylvania,12794885,PA,5.709312744897669
Hybrid,2021,4494,Rhode Island,1057798,RI,42.48448191431635
Hybrid,2021,20700,South Carolina,5091517,SC,40.65585954048666
Hybrid,2021,13620,South Dakota,879336,SD,154.8895985152433
Hybrid,2021,16574,Tennessee,6772268,TN,24.473337440278502
Hybrid,2021,5329,Texas,28635442,TX,1.8609805289542938
Hybrid,2021,1138,Utah,3151239,UT,3.611277976694246
Hybrid,2021,10078,Virginia,8509358,VA,11.843431666642772
